disk_type,pool_type,cache_size,file_type,operation_type,operation_iops,operation_iops_per_sec,operation_bw,operation_bw_per_op
rbd,hdd,none,oltp,random-rate,0,0,0.0mb/s,0.000ms/op
rbd,hdd,none,oltp,shadow-post-dbwr,106000,589,0.0mb/s,338.016ms/op
rbd,hdd,none,oltp,shadow-post-lg,106200,590,0.0mb/s,0.071ms/op
rbd,hdd,none,oltp,shadowhog,106200,590,0.0mb/s,0.315ms/op
rbd,hdd,none,oltp,shadowread,131800,732,1.2mb/s,0.690ms/op
rbd,hdd,none,oltp,dbwr-aiowait,1030,6,0.0mb/s,0.556ms/op
rbd,hdd,none,oltp,dbwr-block,1040,6,0.0mb/s,5.471ms/op
rbd,hdd,none,oltp,dbwr-hog,1040,6,0.0mb/s,0.008ms/op
rbd,hdd,none,oltp,dbwrite-a,105280,585,1.1mb/s,0.010ms/op
rbd,hdd,none,oltp,lg-block,33,0,0.0mb/s,5451.254ms/op
rbd,hdd,none,oltp,lg-aiowait,34,0,0.0mb/s,0.001ms/op
rbd,hdd,none,oltp,lg-write,35,0,0.0mb/s,0.046ms/op
